timestamp,dni_W_m2,solar_power_W,solar_power_raw_W,solar_power_effective_W,solar_power_curtailed_W,collector_curtailment_W,downstream_curtailment_W,solar_power_kW,solar_power_absorbed_kW,solar_power_available_W,collector_t_in_C,collector_solver_iters,collector_solver_dTin_C,collector_solver_dMcol_m3s,collector_solver_converged,flow_optimizer_mode,flow_optimizer_evals,flow_optimizer_best_objective_W,flow_optimizer_best_charge_flow_m3s,flow_optimizer_factory_shortfall_W,ctes_discharge_iterations,ctes_discharge_solver_mode,m_col_avail_eff_m3s,m_col_vol_flow_m3s,m_col_use_m3s,m_ctes_use_m3s,m_ctes_charge_use_m3s,charge_quality_dT_C,charge_quality_factor,charge_flow_slew_limited,m_ctes_discharge_avail_m3s,m_recirc_m3s,m_oil_hex_m3s,htf_in_temp_C,hex_inlet_temp_C,mix_target_C,mix_target_used_C,collector_t_out_C,oil_out_C,water_out_C,provided_W,provided_kW,solar_contribution_W,solar_to_factory_kW,ctes_contribution_W,ctes_to_factory_kW,remaining_solar_W,required_oil_in_C,hex_temp_sufficient,factory_load_W,factory_load_kW,operation_mode,net_power_W,ctes_energy_J,ctes_energy_MWh,ctes_soc_pct,ctes_inlet_temp_C,ctes_temp_C,concrete_T_z0_C,concrete_T_z_mid_C,concrete_T_z_max_C,provided_from_ctes_W,provided_from_ctes_kW,backup_heater_W,backup_heater_kW,tolerated_deficit_W,tolerated_deficit_cumulative_MWh,ctes_loss_cumulative_MWh,ctes_current_loss_kW,ctes_charge_htf_W,ctes_charge_inferred_W,ctes_charge_input_W,ctes_discharge_output_W,ctes_balance_residual_state_W,ctes_balance_residual_with_loss_W,hex_flow_balance_m3s,module_00_Ts_avg_C,module_01_Ts_avg_C,module_02_Ts_avg_C,module_03_Ts_avg_C,module_04_Ts_avg_C,module_05_Ts_avg_C,module_06_Ts_avg_C,module_07_Ts_avg_C,module_08_Ts_avg_C,module_09_Ts_avg_C,module_10_Ts_avg_C,module_11_Ts_avg_C,module_12_Ts_avg_C,module_13_Ts_avg_C,module_00_Ts_outlet_C,module_01_Ts_outlet_C,module_02_Ts_outlet_C,module_03_Ts_outlet_C,module_04_Ts_outlet_C,module_05_Ts_outlet_C,module_06_Ts_outlet_C,module_07_Ts_outlet_C,module_08_Ts_outlet_C,module_09_Ts_outlet_C,module_10_Ts_outlet_C,module_11_Ts_outlet_C,module_12_Ts_outlet_C,module_13_Ts_outlet_C,module_00_Tf_zL_C,module_01_Tf_zL_C,module_02_Tf_zL_C,module_03_Tf_zL_C,module_04_Tf_zL_C,module_05_Tf_zL_C,module_06_Tf_zL_C,module_07_Tf_zL_C,module_08_Tf_zL_C,module_09_Tf_zL_C,module_10_Tf_zL_C,module_11_Tf_zL_C,module_12_Tf_zL_C,module_13_Tf_zL_C
2026-07-11 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0,,,False,legacy,0,,0.0,,0,none,0.0,0.0,0.0,0.0,0.0,,,False,0.021,0.0,0.0,135.0,135.0,182.0,182.0,,135.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,0.0,0.0,-,0.0,42563379823.42381,11.82316106206217,7.8892192428815955,,,134.98951656147503,134.98951656147503,134.98951656147503,0.0,0.0,0.0,0.0,0.0,0.0,-0.008553647159245286,-51.321882955471715,0.0,1708.2553285058748,0.0,0.0,-49613.62762696584,1708.2553285058748,0.0,134.98951656147497,134.98951656147497,134.98951656147497,134.98951656147497,134.98951656147497,134.98951656147497,134.98951656147497,134.98951656147497,134.98951656147497,134.98951656147497,134.98951656147497,134.98951656147497,134.98951656147497,134.98951656147497,134.98951656147503,134.98951656147503,134.98951656147503,134.98951656147503,134.98951656147503,134.98951656147503,134.98951656147503,134.98951656147503,134.98951656147503,134.98951656147503,134.98951656147503,134.98951656147503,134.98951656147503,134.98951656147503,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0
2026-07-11 00:10:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0,,,False,legacy,0,,0.0,,0,none,0.0,0.0,0.0,0.0,0.0,,,False,0.021,0.0,0.0,135.0,135.0,182.0,182.0,,135.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,0.0,0.0,-,0.0,42533614615.67292,11.814892948798033,7.883702193936449,,,134.97903416847925,134.97903416847925,134.97903416847925,0.0,0.0,0.0,0.0,0.0,0.0,-0.01710644125029137,-51.31676454627652,0.0,1708.0849614554463,0.0,0.0,-49608.67958482107,1708.0849614554463,0.0,134.97903416847925,134.97903416847925,134.97903416847925,134.97903416847925,134.97903416847925,134.97903416847925,134.97903416847925,134.97903416847925,134.97903416847925,134.97903416847925,134.97903416847925,134.97903416847925,134.97903416847925,134.97903416847925,134.97903416847925,134.97903416847925,134.97903416847925,134.97903416847925,134.97903416847925,134.97903416847925,134.97903416847925,134.97903416847925,134.97903416847925,134.97903416847925,134.97903416847925,134.97903416847925,134.97903416847925,134.97903416847925,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0
2026-07-11 00:20:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0,,,False,legacy,0,,0.0,,0,none,0.0,0.0,0.0,0.0,0.0,,,False,0.021,0.0,0.0,135.0,135.0,182.0,182.0,,135.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,0.0,0.0,-,0.0,42503852376.45135,11.806625660125373,7.878185695214962,,,134.96855282090843,134.96855282090843,134.96855282090843,0.0,0.0,0.0,0.0,0.0,0.0,-0.025658382358217727,-51.31164664755813,0.0,1707.9146116033298,0.0,0.0,-49603.732035954796,1707.9146116033298,0.0,134.96855282090843,134.96855282090843,134.96855282090843,134.96855282090843,134.96855282090843,134.96855282090843,134.96855282090843,134.96855282090843,134.96855282090843,134.96855282090843,134.96855282090843,134.96855282090843,134.96855282090843,134.96855282090843,134.96855282090843,134.96855282090843,134.96855282090843,134.96855282090843,134.96855282090843,134.96855282090843,134.96855282090843,134.96855282090843,134.96855282090843,134.96855282090843,134.96855282090843,134.96855282090843,134.96855282090843,134.96855282090843,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0
2026-07-11 00:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0,,,False,legacy,0,,0.0,,0,none,0.0,0.0,0.0,0.0,0.0,,,False,0.021,0.0,0.0,135.0,135.0,182.0,182.0,,135.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,0.0,0.0,-,0.0,42474093105.46305,11.79835919596196,7.872669746662263,,,134.9580725186583,134.9580725186583,134.9580725186583,0.0,0.0,0.0,0.0,0.0,0.0,-0.03420947056809535,-51.30652925926572,0.0,1707.7442787715408,0.0,0.0,-49598.78498049418,1707.7442787715408,0.0,134.9580725186583,134.9580725186583,134.9580725186583,134.9580725186583,134.9580725186583,134.9580725186583,134.9580725186583,134.9580725186583,134.9580725186583,134.9580725186583,134.9580725186583,134.9580725186583,134.9580725186583,134.9580725186583,134.9580725186583,134.9580725186583,134.9580725186583,134.9580725186583,134.9580725186583,134.9580725186583,134.9580725186583,134.9580725186583,134.9580725186583,134.9580725186583,134.9580725186583,134.9580725186583,134.9580725186583,134.9580725186583,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0
2026-07-11 00:40:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0,,,False,legacy,0,,0.0,,0,none,0.0,0.0,0.0,0.0,0.0,,,False,0.021,0.0,0.0,135.0,135.0,182.0,182.0,,135.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,0.0,0.0,-,0.0,42444336802.41187,11.79009355622552,7.867154348223458,,,134.94759326162458,134.94759326162458,134.94759326162458,0.0,0.0,0.0,0.0,0.0,0.0,-0.04275970596498673,-51.3014123813483,0.0,1707.5739627183357,0.0,0.0,-49593.838418629966,1707.5739627183357,0.0,134.9475932616246,134.9475932616246,134.9475932616246,134.9475932616246,134.9475932616246,134.9475932616246,134.9475932616246,134.9475932616246,134.9475932616246,134.9475932616246,134.9475932616246,134.9475932616246,134.9475932616246,134.9475932616246,134.94759326162458,134.94759326162458,134.94759326162458,134.94759326162458,134.94759326162458,134.94759326162458,134.94759326162458,134.94759326162458,134.94759326162458,134.94759326162458,134.94759326162458,134.94759326162458,134.94759326162458,134.94759326162458,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0
2026-07-11 00:50:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0,,,False,legacy,0,,0.0,,0,none,0.0,0.0,0.0,0.0,0.0,,,False,0.021,0.0,0.0,135.0,135.0,182.0,182.0,,135.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,0.0,0.0,-,0.0,42414583467.00202,11.781828740833895,7.861639499843721,,,134.93711504970307,134.93711504970307,134.93711504970307,0.0,0.0,0.0,0.0,0.0,0.0,-0.0513090886339459,-51.296296013755004,0.0,1707.4036640032136,0.0,0.0,-49588.89234975179,1707.4036640032136,0.0,134.9371150497031,134.9371150497031,134.9371150497031,134.9371150497031,134.9371150497031,134.9371150497031,134.9371150497031,134.9371150497031,134.9371150497031,134.9371150497031,134.9371150497031,134.9371150497031,134.9371150497031,134.9371150497031,134.93711504970307,134.93711504970307,134.93711504970307,134.93711504970307,134.93711504970307,134.93711504970307,134.93711504970307,134.93711504970307,134.93711504970307,134.93711504970307,134.93711504970307,134.93711504970307,134.93711504970307,134.93711504970307,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0
2026-07-11 01:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0,,,False,legacy,0,,0.0,,0,none,0.0,0.0,0.0,0.0,0.0,,,False,0.021,0.0,0.0,135.0,135.0,182.0,182.0,,135.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,0.0,0.0,-,0.0,42384833098.93731,11.773564749704809,7.856125201468155,,,134.9266378827895,134.9266378827895,134.9266378827895,0.0,0.0,0.0,0.0,0.0,0.0,-0.059857618660018375,-51.29118015643486,0.0,1707.2333819139894,0.0,0.0,-49583.946774520875,1707.2333819139894,0.0,134.92663788278955,134.92663788278955,134.92663788278955,134.92663788278955,134.92663788278955,134.92663788278955,134.92663788278955,134.92663788278955,134.92663788278955,134.92663788278955,134.92663788278955,134.92663788278955,134.92663788278955,134.92663788278955,134.9266378827895,134.9266378827895,134.9266378827895,134.9266378827895,134.9266378827895,134.9266378827895,134.9266378827895,134.9266378827895,134.9266378827895,134.9266378827895,134.9266378827895,134.9266378827895,134.9266378827895,134.9266378827895,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0
2026-07-11 01:10:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0,,,False,legacy,0,,0.0,,0,none,0.0,0.0,0.0,0.0,0.0,,,False,0.021,0.0,0.0,135.0,135.0,182.0,182.0,,135.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,0.0,0.0,-,0.0,42355085697.92198,11.765301582756106,7.850611453041939,,,134.9161617607797,134.9161617607797,134.9161617607797,0.0,0.0,0.0,0.0,0.0,0.0,-0.06840529612824121,-51.286064809337006,0.0,1707.063117124584,0.0,0.0,-49579.00169221242,1707.063117124584,0.0,134.9161617607797,134.9161617607797,134.9161617607797,134.9161617607797,134.9161617607797,134.9161617607797,134.9161617607797,134.9161617607797,134.9161617607797,134.9161617607797,134.9161617607797,134.9161617607797,134.9161617607797,134.9161617607797,134.9161617607797,134.9161617607797,134.9161617607797,134.9161617607797,134.9161617607797,134.9161617607797,134.9161617607797,134.9161617607797,134.9161617607797,134.9161617607797,134.9161617607797,134.9161617607797,134.9161617607797,134.9161617607797,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0
2026-07-11 01:20:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0,,,False,legacy,0,,0.0,,0,none,0.0,0.0,0.0,0.0,0.0,,,False,0.021,0.0,0.0,135.0,135.0,182.0,182.0,,135.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,0.0,0.0,-,0.0,42325341263.659966,11.757039239905547,7.845098254510195,,,134.90568668356937,134.90568668356937,134.90568668356937,0.0,0.0,0.0,0.0,0.0,0.0,-0.07695212112364296,-51.28094997241046,0.0,1706.892869049967,0.0,0.0,-49574.057103360494,1706.892869049967,0.0,134.9056866835694,134.9056866835694,134.9056866835694,134.9056866835694,134.9056866835694,134.9056866835694,134.9056866835694,134.9056866835694,134.9056866835694,134.9056866835694,134.9056866835694,134.9056866835694,134.9056866835694,134.9056866835694,134.90568668356937,134.90568668356937,134.90568668356937,134.90568668356937,134.90568668356937,134.90568668356937,134.90568668356937,134.90568668356937,134.90568668356937,134.90568668356937,134.90568668356937,134.90568668356937,134.90568668356937,134.90568668356937,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0
2026-07-11 01:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0,,,False,legacy,0,,0.0,,0,none,0.0,0.0,0.0,0.0,0.0,,,False,0.021,0.0,0.0,135.0,135.0,182.0,182.0,,135.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,0.0,0.0,-,0.0,42295599795.85544,11.748777721070955,7.839585605818095,,,134.89521265105438,134.89521265105438,134.89521265105438,0.0,0.0,0.0,0.0,0.0,0.0,-0.08549809373124369,-51.27583564560439,0.0,1706.72263805892,0.0,0.0,-49569.11300754547,1706.72263805892,0.0,134.89521265105438,134.89521265105438,134.89521265105438,134.89521265105438,134.89521265105438,134.89521265105438,134.89521265105438,134.89521265105438,134.89521265105438,134.89521265105438,134.89521265105438,134.89521265105438,134.89521265105438,134.89521265105438,134.89521265105438,134.89521265105438,134.89521265105438,134.89521265105438,134.89521265105438,134.89521265105438,134.89521265105438,134.89521265105438,134.89521265105438,134.89521265105438,134.89521265105438,134.89521265105438,134.89521265105438,134.89521265105438,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0
